Latitude,Longitude,Altitude,Sat.X,Sat.Y,Sat.Z
32.16879873391328,34.813661167085186,38.137020986527205,14573206.71411265,-5239567.640830624,22040175.96184369
32.168808713925635,34.81363680491582,46.073195772245526,23187580.55856421,-12122987.558775622,4011162.691971072
32.16878423357206,34.813673616545515,36.12870711740106,24906736.30404856,4694270.572758321,8528081.895445963
32.16880189009191,34.81365696589446,36.79475736245513,-1329165.0720265834,17148086.34156501,20352420.163985148
32.16882878282277,34.813647571140045,42.104666349478066,15699708.620245434,1536361.2559223366,21913664.42634119
32.1688254555726,34.8136935816583,30.22863543499261,23150795.05425613,13293206.07379138,-2593025.988618102
32.175568590591496,34.820398809001524,-898.847031692043,5200268.047928143,25758890.151180238,-3885488.7660888894
32.1755580861955,34.82042781761693,-892.4887223560363,8094502.459394407,17964729.605067823,18113974.760810208
32.17554512572486,34.82042957974946,-883.7070389343426,14573637.157755837,-5236917.872893741,22040556.11196385
32.17555260495676,34.82044827900683,-894.0410336013883,23187259.053250164,-12122514.97754027,4014342.794508614
32.168802366043735,34.8135957353897,53.550571635365486,24907621.621711712,4694947.489705142,8525202.036002519
32.168758999609864,34.81360423447879,47.85215171147138,-1331334.3680131258,17149413.627291784,20351116.047403943
32.16885188434749,34.813627662383766,45.34552536718547,15700126.351931373,1538993.6651881896,21913269.6990149
32.16881797285059,34.81362496259512,52.2718454208225,23150430.25081132,13293291.289165769,-2596155.0586444973
32.16876031858196,34.81362597158577,56.29643546976149,5200041.630917072,25759405.581586614,-3882362.5798162287
32.17554320894315,34.82041638631174,-878.9386798935011,8092415.256527005,17963876.506956242,18115754.467669804
32.175550491384215,34.82044246651869,-886.5018696272746,14574067.76820618,-5234268.088813115,22040935.8126152
32.175517724335215,34.82048000002309,-887.3058562362567,23186937.24185885,-12122042.15333005,4017522.810753316
32.16878228136001,34.81363855119057,52.36970274988562,24908506.65134796,4695624.204662176,8522321.99879082
32.16883443143499,34.813652476753354,53.53595884796232,-1333503.4494755473,17150740.95935104,20349811.50206375
32.16879873391328,34.813661167085186,38.137020986527205,15700544.23317017,1541625.9905167348,21912874.527986936
32.168808713925635,34.81363680491582,46.073195772245526,23150065.104609918,13293376.353816982,-2599284.0749783744
32.16878423357206,34.813673616545515,36.12870711740106,5199815.206101653,25759920.634232134,-3879236.310747346
32.16880189009191,34.81365696589446,36.79475736245513,8090327.804100423,17963023.435395673,18117533.797867578
32.16882878282277,34.813647571140045,42.104666349478066,14574498.545457968,-5231618.288668992,22041315.06378919
32.1688254555726,34.8136935816583,30.22863543499261,23186615.12443012,-12121569.086107343,4020702.740636672
32.175568590591496,34.820398809001524,-898.847031692043,24909391.39288893,4696300.717640739,8519441.783958217
32.1755580861955,34.82042781761693,-892.4887223560363,-1335672.316338322,17152068.33766805,20348506.528011203
32.17554512572486,34.82042957974946,-883.7070389343426,15700962.263950534,1544258.231876301,21912478.91326452
32.17555260495676,34.82044827900683,-894.0410336013883,23149699.61563187,13293461.2677961,-2602413.037599344
32.168802366043735,34.8135957353897,53.550571635365486,5199588.773461336,25760435.30903948,-3876109.959374171
32.168758999609864,34.81360423447879,47.85215171147138,8088240.102113026,17962170.39042043,18119312.751398697
32.16885188434749,34.813627662383766,45.34552536718547,14574929.489515731,-5228968.472478466,22041693.86548632
32.16881797285059,34.81362496259512,52.2718454208225,23186292.701009493,-12121095.775843112,4023882.5840335344
32.16876031858196,34.81362597158577,56.29643546976149,24910275.84630359,4696977.028680667,8516561.391530413
32.17554320894315,34.82041638631174,-878.9386798935011,-1337840.9685186043,17153395.762163736,20347201.125297274
32.175550491384215,34.82044246651869,-886.5018696272746,15701380.444264522,1546890.389256036,21912082.854851656
32.175517724335215,34.82048000002309,-887.3058562362567,23149333.78386732,13293546.03115136,-2605541.946402485
32.16878228136001,34.81363855119057,52.36970274988562,5199362.332925703,25760949.6060442,-3872983.525504057
32.16883443143499,34.813652476753354,53.53595884796232,8086152.150592797,17961317.37207675,18121091.32823326
