,GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Doppler
0,2024-04-13 16:51:36.417342+00:00,G02,14573206.71411265,-5239567.640830624,22040175.96184369,22812058.27763995,43.0,-2655.1326026539764
1,2024-04-13 16:51:36.417342+00:00,G03,23187580.558564212,-12122987.558775622,4011162.6919710715,24151306.26768114,42.0,-2648.735183202319
2,2024-04-13 16:51:36.417342+00:00,G08,24906736.30404856,4694270.572758321,8528081.895445963,21169467.93797826,47.8,870.6799089658217
3,2024-04-13 16:51:36.417342+00:00,G10,-1329165.0720265834,17148086.34156501,20352420.163985148,22785964.099709965,39.0,1867.5378146031921
4,2024-04-13 16:51:36.417342+00:00,G21,15699708.620245434,1536361.2559223366,21913664.42634119,21745944.913827673,44.3,-1830.219988538562
5,2024-04-13 16:51:36.417342+00:00,G27,23150795.05425613,13293206.07379138,-2593025.988618102,22137021.599012583,45.2,2803.2700673218137
6,2024-04-13 16:51:36.417342+00:00,G28,5200268.047928143,25758890.151180234,-3885488.7660888904,23820393.16069658,35.5,-2681.443771038309
7,2024-04-13 16:51:36.417342+00:00,G32,8094502.459394407,17964729.605067823,18113974.760810208,21259751.562319674,45.6,1242.8692852030333
8,2024-04-13 16:51:37.417342+00:00,G02,14573637.157755837,-5236917.872893741,22040556.11196385,22811553.130679525,45.2,-2654.4665620407072
9,2024-04-13 16:51:37.417342+00:00,G03,23187259.053250164,-12122514.97754027,4014342.794508614,24150800.496943604,43.4,-2648.6736433573974
10,2024-04-13 16:51:37.417342+00:00,G08,24907621.621711712,4694947.489705142,8525202.036002519,21169634.036103524,49.8,871.662623364418
11,2024-04-13 16:51:37.417342+00:00,G10,-1331334.3680131258,17149413.627291784,20351116.047403943,22786318.16333277,41.7,1868.106577388681
12,2024-04-13 16:51:37.417342+00:00,G21,15700126.351931373,1538993.6651881896,21913269.6990149,21745595.350588758,46.7,-1829.5787882272796
13,2024-04-13 16:51:37.417342+00:00,G27,23150430.25081132,13293291.289165769,-2596155.0586444973,22137551.317140643,47.7,2804.1111118690797
14,2024-04-13 16:51:37.417342+00:00,G28,5200041.630917072,25759405.581586618,-3882362.5798162287,23819891.916109253,37.8,-2681.5437732863065
15,2024-04-13 16:51:37.417342+00:00,G32,8092415.256527005,17963876.506956242,18115754.467669804,21259985.709204976,46.8,1243.7963092471757
16,2024-04-13 16:51:38.417342+00:00,G02,14574067.76820618,-5234268.088813115,22040935.8126152,22811047.390411697,43.0,-2658.633803153998
17,2024-04-13 16:51:38.417342+00:00,G03,23186937.24185885,-12122042.15333005,4017522.810753316,24150295.354413908,42.4,-2652.2927952268524
18,2024-04-13 16:51:38.417342+00:00,G08,24908506.65134796,4695624.204662176,8522321.99879082,21169796.818687413,48.0,868.2052539779023
19,2024-04-13 16:51:38.417342+00:00,G10,-1333503.4494755473,17150740.95935104,20349811.50206375,22786669.81882553,39.7,1864.0923845876314
20,2024-04-13 16:51:38.417342+00:00,G21,15700544.23317017,1541625.9905167348,21912874.527986936,21745249.10289121,44.7,-1833.4995494408568
21,2024-04-13 16:51:38.417342+00:00,G27,23150065.104609914,13293376.353816982,-2599284.0749783744,22138085.25822139,45.5,2800.2946799238466
22,2024-04-13 16:51:38.417342+00:00,G28,5199815.206101653,25759920.634232134,-3879236.310747346,23819369.661459766,36.2,-2685.7408227619812
23,2024-04-13 16:51:38.417342+00:00,G32,8090327.804100423,17963023.435395673,18117533.797867578,21260224.95155386,45.5,1240.2718710452957
24,2024-04-13 16:51:39.417343+00:00,G02,14574498.545457968,-5231618.288668992,22041315.06378919,22810542.836758677,45.2,-2637.4943856432956
25,2024-04-13 16:51:39.417343+00:00,G03,23186615.124430116,-12121569.086107343,4020702.7406366724,24149790.840092044,44.0,-2631.575182069885
26,2024-04-13 16:51:39.417343+00:00,G08,24909391.392888926,4696300.717640739,8519441.783958217,21169965.324942727,49.5,889.6751276350343
27,2024-04-13 16:51:39.417343+00:00,G10,-1335672.3163383221,17152068.33766805,20348506.528011203,22787023.847547904,41.6,1885.120261129413
28,2024-04-13 16:51:39.417343+00:00,G21,15700962.263950534,1544258.231876301,21912478.91326452,21744902.855193663,46.2,-1812.4151011145507
29,2024-04-13 16:51:39.417343+00:00,G27,23149699.61563187,13293461.2677961,-2602413.0375993433,22138619.199302144,47.0,2821.537465142816
30,2024-04-13 16:51:39.417343+00:00,G28,5199588.773461336,25760435.309039477,-3876109.959374171,23818867.195357196,39.1,-2662.96210558017
31,2024-04-13 16:51:39.417343+00:00,G32,8088240.102113026,17962170.39042043,18119312.751398697,21260463.87979882,48.2,1261.667864836519
32,2024-04-13 16:51:40.417343+00:00,G02,14574929.489515733,-5228968.472478466,22041693.865486316,22810034.095053393,45.2,-2641.3194716292205
33,2024-04-13 16:51:40.417343+00:00,G03,23186292.701009493,-12121095.775843112,4023882.5840335344,24149292.293744653,44.2,-2634.823652529694
34,2024-04-13 16:51:40.417343+00:00,G08,24910275.84630359,4696977.028680667,8516561.391530413,21170135.92522417,49.4,886.5035819813783
35,2024-04-13 16:51:40.417343+00:00,G10,-1337840.9685186045,17153395.762163736,20347201.125297274,22787386.00807174,41.1,1881.2411675191681
36,2024-04-13 16:51:40.417343+00:00,G21,15701380.444264522,1546890.389256036,21912082.854851656,21744550.8838247,45.8,-1815.9981944811216
37,2024-04-13 16:51:40.417343+00:00,G27,23149333.78386732,13293546.03115136,-2605541.9464024855,22139157.014331233,46.8,2818.0207194215513
38,2024-04-13 16:51:40.417343+00:00,G28,5199362.332925703,25760949.606044196,-3872983.5255040573,23818359.668691482,39.9,-2666.7979289869536
39,2024-04-13 16:51:40.417343+00:00,G32,8086152.150592797,17961317.37207675,18121091.32823326,21260701.307325054,47.5,1258.3905475744034
40,2024-04-13 16:51:41.417343+00:00,G02,14575360.600359458,-5226318.640409272,22042072.21768556,22809532.82204131,45.3,-2638.2788584060368
41,2024-04-13 16:51:41.417343+00:00,G03,23185969.971626576,-12120622.222485622,4027062.340973859,24148790.431855887,44.1,-2631.9199013574553
42,2024-04-13 16:51:41.417343+00:00,G08,24911160.01156343,4697653.137824295,8513680.82152469,21170304.11737556,49.4,889.9226492248307
43,2024-04-13 16:51:41.417343+00:00,G10,-1340009.4061253602,17154723.232876316,20345895.293857537,22787735.56953837,35.7,1884.8242608857392
44,2024-04-13 16:51:41.417343+00:00,G21,15701798.774070607,1549522.4624343296,21911686.352784134,21744211.511512946,45.8,-1812.8662330506318
45,2024-04-13 16:51:41.417343+00:00,G27,23148967.609296795,13293630.643933553,-2608670.8013634095,22139694.86426076,46.5,2821.2890621229494
46,2024-04-13 16:51:41.417343+00:00,G28,5199135.884442097,25761463.52524182,-3869857.009187088,23817845.510943025,37.6,-2663.831355889691
47,2024-04-13 16:51:41.417343+00:00,G32,8084063.949624278,17960464.380433835,18122869.528293356,21260944.14441879,46.9,1261.9040079654053
48,2024-04-13 16:51:42.417343+00:00,G02,14575791.878002692,-5223668.792423091,22042450.12039534,22809027.3958774,44.7,-2642.628795933939
49,2024-04-13 16:51:42.417343+00:00,G03,23185646.936322033,-12120148.425998015,4030242.011382488,24148285.882633597,43.8,-2635.945472619416
50,2024-04-13 16:51:42.417343+00:00,G08,24912043.888616234,4698329.0450947825,8510800.074036134,21170473.496141758,49.4,886.2119087580505
51,2024-04-13 16:51:42.417343+00:00,G21,-1342177.645927108,17156050.76004467,20344589.02358868,22785748.232745726,45.9,-1817.1615219141634
52,2024-04-13 16:51:42.417343+00:00,G27,15702217.253380438,1552154.4515242227,21911289.407047406,21743864.949711476,45.7,2817.247945639746
53,2024-04-13 16:51:42.417343+00:00,G28,23148601.09190798,13293715.106191846,-2611799.602396517,22140234.773315977,37.7,-2667.826477749216
54,2024-04-13 16:51:42.417343+00:00,G32,5198909.427975825,25761977.066587083,-3866730.4107216205,23817346.95368923,48.1,1257.989336632315
55,2024-04-13 16:51:42.417343+00:00,G10,8081975.49919523,17959611.41552181,18124647.351583056,21261185.4807938,29.1,1404.243637562256
56,2024-04-13 16:51:43.417343+00:00,G02,14576223.322428405,-5221018.928669001,22042827.57359735,22808527.344380558,44.9,-2642.819825869217
57,2024-04-13 16:51:43.417343+00:00,G03,23185323.595146205,-12119674.38635869,4033421.595086155,24147788.52290101,43.9,-2636.0632637288363
58,2024-04-13 16:51:43.417343+00:00,G08,24912927.477430686,4699004.750532467,8507919.149091106,21170640.501678344,49.2,886.5428456845185
59,2024-04-13 16:51:43.417343+00:00,G21,-1344345.6540238569,17157378.322884575,20343282.33491527,22786105.57700947,46.0,-1817.2374851602387
60,2024-04-13 16:51:43.417343+00:00,G27,15702635.882170135,1554786.3564146343,21910892.01766058,21743516.88719129,45.3,2817.252432920105
61,2024-04-13 16:51:43.417343+00:00,G28,23148234.23167975,13293799.417977173,-2614928.349493065,22140771.401730258,37.2,-2668.0314503056093
62,2024-04-13 16:51:43.417343+00:00,G32,5198682.963454504,25762490.230120175,-3863603.7298862385,23816836.390685625,47.6,1258.2270823613296
63,2024-04-13 16:51:43.417343+00:00,G10,8079886.799325444,17958758.47738328,18126424.7980797,21261422.908320036,27.7,1404.3777928871714
64,2024-04-13 16:51:44.417343+00:00,G02,14576654.933642874,-5218369.049153188,22043204.57729366,22808026.071368467,45.9,-2642.453952259955
65,2024-04-13 16:51:44.417343+00:00,G03,23184999.948129855,-12119200.103517031,4036601.092105198,24147289.976553615,44.7,-2635.797552627585
66,2024-04-13 16:51:44.417343+00:00,G08,24913810.777943235,4699680.2541519655,8505038.046821602,21170812.567778073,49.8,887.3376552180863
67,2024-04-13 16:51:44.417343+00:00,G21,-1346513.4473026274,17158705.93170608,20341975.217667002,22786467.1442259,46.8,-1816.7568653817991
68,2024-04-13 16:51:44.417343+00:00,G27,15703054.660419486,1557418.1770187374,21910494.18463924,21743170.325389825,45.9,2817.8460360075806
69,2024-04-13 16:51:44.417343+00:00,G28,23147867.028596476,13293883.57933958,-2618057.0425951243,22141304.12129577,37.7,-2667.633204173758
70,2024-04-13 16:51:44.417343+00:00,G32,5198456.490840805,25763003.015802093,-3860476.966941404,23816332.42386433,47.6,1258.994727822725
71,2024-04-13 16:51:44.417343+00:00,G10,8077797.850069861,17957905.566075724,18128201.867730264,21261659.149231467,29.4,1403.918361761078
72,2024-04-13 16:51:45.417344+00:00,G02,14577086.711649247,-5215719.153900997,22043581.13148357,22807519.144485835,45.1,-2649.590010110687
73,2024-04-13 16:51:45.417344+00:00,G03,23184675.99530537,-12118725.577424608,4039780.502444403,24146783.333305195,44.7,-2642.8711090733186
74,2024-04-13 16:51:45.417344+00:00,G08,24914693.790139288,4700355.556006353,8502156.767199595,21170980.48072598,49.7,880.7404716604523
75,2024-04-13 16:51:45.417344+00:00,G21,-1348681.0258094454,17160033.586508907,20340667.671817273,22786820.89374479,46.4,-1823.7631126221497
76,2024-04-13 16:51:45.417344+00:00,G27,15703473.588115444,1560049.913293832,21910095.90799224,21742823.170280956,45.8,2810.9429962154845
77,2024-04-13 16:51:45.417344+00:00,G28,23147499.482653543,13293967.59032621,-2621185.681553402,22141841.06381397,37.0,-2674.817981068387
78,2024-04-13 16:51:45.417344+00:00,G32,5198230.0100684,25763515.423658565,-3857350.1217538,23815815.892886262,46.4,1252.3282318095473
79,2024-04-13 16:51:45.417344+00:00,G10,8075708.651477274,17957052.68165374,18129978.560487267,21261895.9834503,27.4,1398.1821146300763
80,2024-04-13 16:51:46.417344+00:00,G02,14577518.656424467,-5213069.243098345,22043957.236143615,22807020.279603794,43.6,-2633.9226707376342
81,2024-04-13 16:51:46.417344+00:00,G03,23184351.73672492,-12118250.808062037,4042959.8259142376,24146280.00559814,42.6,-2626.710809900839
82,2024-04-13 16:51:46.417344+00:00,G08,24915576.51396154,4701030.656115165,8499275.310336692,21171149.545388263,47.6,897.0208857125381
83,2024-04-13 16:51:46.417344+00:00,G10,-1350848.3722884487,17161361.276693147,20339359.70778309,22789548.11717933,34.0,1890.7410605589569
84,2024-04-13 16:51:46.417344+00:00,G21,15703892.66524831,1562681.565218639,21909697.187725205,21742470.919708505,44.0,-1807.9337503761385
85,2024-04-13 16:51:46.417344+00:00,G27,23147131.593831375,13294051.450987967,-2624314.266344558,22142378.285535656,44.0,2826.960663976556
86,2024-04-13 16:51:46.417344+00:00,G28,5198003.521109107,25764027.453630283,-3854223.194708416,23815317.335632466,36.2,-2659.2091366000122
87,2024-04-13 16:51:46.417344+00:00,G32,8073619.203615215,17956199.824179806,18131754.876287162,21262137.913132712,44.7,1268.5555196673845
88,2024-04-13 16:51:47.417344+00:00,G02,14577950.767985916,-5210419.316683025,22044332.89128557,22806515.132643368,44.4,-2646.2261524416504
89,2024-04-13 16:51:47.417344+00:00,G03,23184027.17242693,-12117775.795390222,4046139.0624591582,24145778.771917216,42.8,-2639.6952363993164
90,2024-04-13 16:51:47.417344+00:00,G08,24916458.94937069,4701705.554512181,8496393.676285723,21171318.959054895,48.0,884.981111859613
91,2024-04-13 16:51:47.417344+00:00,G10,-1353015.520954512,17162689.02318965,20338051.304917686,22789910.55690665,33.5,1874.4523931162112
