,GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Doppler
0,2024-04-13 16:53:51.426041+00:00,G10,25023639.6240527,4783845.8041696865,8137692.350133545,21196005.876491368,48.3,2026.149553188748
1,2024-04-13 16:53:51.426041+00:00,G21,-1620081.7744787037,17327678.89277763,20172485.06377191,22839528.10111702,45.7,-1651.0585892894715
2,2024-04-13 16:53:51.426041+00:00,G27,15757452.408317765,1890975.9571634931,21856363.72227612,21704707.75126088,37.9,2997.5250750980713
3,2024-04-13 16:53:51.426041+00:00,G32,23098436.983025927,13303367.387089957,-3014966.440680798,22215117.68794983,48.5,1466.5352105315367
4,2024-04-13 16:53:51.426041+00:00,G08,7810468.746056123,17849813.844240233,18350828.84000951,21298089.881690666,27.7,814.136369074056
5,2024-04-13 16:53:52.426041+00:00,G08,25024485.673475336,4784495.73568894,8134789.066819822,21198559.199303802,24.4,1111.8302818227078
6,2024-04-13 16:53:52.426041+00:00,G10,-1622221.7386181047,17329011.9448335,20171123.300062597,22839914.83154743,50.6,2043.476545254538
7,2024-04-13 16:53:52.426041+00:00,G21,15757890.182902262,1893596.489021039,21855909.19883369,21704400.173245847,42.1,-1633.6245435351195
8,2024-04-13 16:53:52.426041+00:00,G27,23098025.775149066,13303432.704174265,-3018087.6846097396,22215691.520228334,38.4,3016.589926742853
9,2024-04-13 16:53:52.426041+00:00,G32,5169380.722935404,25825521.78461427,-3459569.3951893607,23754428.557289694,49.7,1484.4240742022644
10,2024-04-13 16:53:52.426041+00:00,G28,7808348.177779548,17848964.775606938,18352557.366964802,21298366.886310734,22.6,-1863.3099952076823
11,2024-04-13 16:53:53.426041+00:00,G02,14633733.886359746,-4876403.146818345,22088069.517008904,22748496.823699094,36.4,-2485.030381409427
12,2024-04-13 16:53:53.426041+00:00,G10,25025331.442510433,4785145.479727181,8131885.568654007,21196433.106627703,49.4,2032.0974433044526
13,2024-04-13 16:53:53.426041+00:00,G21,-1624361.482773332,17330345.035913814,20169761.111179907,22840302.155285254,44.0,-1644.8481932727723
14,2024-04-13 16:53:53.426041+00:00,G27,15758328.104805518,1896216.9288764256,21855454.233308345,21704083.311714977,38.3,3005.519806097479
15,2024-04-13 16:53:53.426041+00:00,G32,23097614.222629804,13303497.87727221,-3021208.866181496,22216267.09752861,49.5,1473.5581248132203
16,2024-04-13 16:53:53.426041+00:00,G08,7806227.364952,17848115.740182087,18354285.51232206,21298652.267035324,28.7,829.9753738289515
17,2024-04-13 16:53:54.426041+00:00,G02,14634187.149074415,-4873751.769524982,22088388.030829635,22748007.24233289,34.4,-2483.3808250974976
18,2024-04-13 16:53:54.426041+00:00,G08,25026176.90465797,4785795.015990736,8128981.946531652,21199006.53209097,33.3,1114.128730926535
