,GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Doppler
0,2024-04-13 16:52:19.418698+00:00,G02,14591866.966557112,-5125610.266319888,22056116.95658494,22792039.017682195,47.2,-2495.78591164964
1,2024-04-13 16:52:19.418698+00:00,G03,23173479.482240584,-12102446.045672685,4147832.625594413,24131358.534740735,44.3,-2485.6988259228883
2,2024-04-13 16:52:19.418698+00:00,G08,24944545.530409124,4723196.893046651,8404084.294735465,21178412.136658646,50.7,1052.080461113997
3,2024-04-13 16:52:19.418698+00:00,G10,-1422253.478673378,17205202.58820848,20295954.526775006,22802966.663672205,36.2,2025.4469732925568
4,2024-04-13 16:52:19.418698+00:00,G21,15717806.50748737,1649481.8821763806,21896290.070443552,21732699.375334933,44.1,-1666.0534776487427
5,2024-04-13 16:52:19.418698+00:00,G27,23134798.299755145,13296734.952176219,-2727530.9775311192,22161735.16137114,43.2,2972.9754847746276
6,2024-04-13 16:52:19.418698+00:00,G28,5190524.141343625,25780713.095625866,-3750984.7821385763,23800201.24902511,38.1,-2516.640386857553
7,2024-04-13 16:52:19.418698+00:00,G32,8004524.969909515,17928069.811361097,18190163.98179976,21271716.472752698,42.2,1421.4811528681732
8,2024-04-13 16:52:20.418698+00:00,G02,14592304.580027768,-5122959.862970568,22056477.773290534,22791560.25545099,47.6,-2485.8066809115144
9,2024-04-13 16:52:20.418698+00:00,G03,23173144.851224016,-12101962.982488178,4151008.9555503884,24130882.15016987,44.8,-2476.4144826003385
10,2024-04-13 16:52:20.418698+00:00,G08,24945418.424417596,4723865.152570108,8401196.8474223,21178611.80900284,51.8,1062.2621803783172
11,2024-04-13 16:52:20.418698+00:00,G10,-1424413.5119917523,17206531.817258596,20294631.996999994,22803346.797920316,38.0,2036.3903282677923
12,2024-04-13 16:52:20.418698+00:00,G21,15718230.65578289,1652110.6281089815,21895876.27374978,21732380.07077358,44.9,-1656.1841852794098
13,2024-04-13 16:52:20.418698+00:00,G27,23134418.74395557,13296813.731150793,-2730657.68200507,22162302.362566903,43.4,2983.098148224225
14,2024-04-13 16:52:20.418698+00:00,G28,5190297.342903983,25781212.273909174,-3747855.105153496,23799715.255928084,38.3,-2507.0143691876774
15,2024-04-13 16:52:20.418698+00:00,G32,8002427.067206242,17927217.899219863,18191927.459506016,21271987.78860179,43.1,1431.5879505765015
16,2024-04-13 16:52:21.418698+00:00,G02,14592742.360147364,-5120309.446315745,22056838.140255928,22791087.775298174,46.7,-2485.5451365705962
17,2024-04-13 16:52:21.418698+00:00,G03,23172809.915852107,-12101479.674731452,4154185.1962405485,24130409.08114038,45.3,-2475.864149716324
18,2024-04-13 16:52:21.418698+00:00,G08,24946291.02859182,4724533.211462991,8398309.225013707,21178815.07609189,51.1,1063.058752772026
19,2024-04-13 16:52:21.418698+00:00,G10,-1426573.3289631158,17207861.090288807,20293309.039628055,22803734.121658135,37.3,2036.1816697311037
20,2024-04-13 16:52:21.418698+00:00,G21,15718654.952934412,1654739.2874807492,21895462.033861294,21732065.303268835,46.9,-1655.7437907641875
21,2024-04-13 16:52:21.418698+00:00,G27,23134038.844766606,13296892.361541457,-2733784.330090749,22162866.562325213,42.1,2983.430848010834
22,2024-04-13 16:52:21.418698+00:00,G28,5190070.5344691,25781711.074079,-3744725.34857729,23799241.303481303,38.6,-2506.9190144800505
23,2024-04-13 16:52:21.418698+00:00,G32,8000328.91648469,17926366.015748844,18193690.55899021,21272260.6051696,44.0,1432.8499981774385
24,2024-04-13 16:52:22.418698+00:00,G02,14593180.306921367,-5117659.01636445,22057198.057482753,22790615.29514536,44.2,-2492.807639571442
25,2024-04-13 16:52:22.418698+00:00,G03,23172474.67616816,-12100996.12236966,4157361.3475679797,24129942.01498579,46.7,-2483.7829174696562
26,2024-04-13 16:52:22.418698+00:00,G08,24947163.34290964,4725201.069772164,8395421.427506812,21179015.341743484,43.2,1058.1607260002884
27,2024-04-13 16:52:22.418698+00:00,G10,-1428732.929511982,17209190.407223888,20291985.654706735,22804133.451145757,40.6,2032.5415237999698
28,2024-04-13 16:52:22.418698+00:00,G21,15719079.398937466,1657367.860305056,21895047.350778345,21731746.626915317,38.8,-1660.2342763233305
29,2024-04-13 16:52:22.418698+00:00,G27,23133658.602184948,13296970.843395937,-2736910.9216327523,22163436.485754948,43.5,2980.310906081305
30,2024-04-13 16:52:22.418698+00:00,G28,5189843.71598544,25782209.496133786,-3741595.5124444524,23798776.32044644,33.2,-2506.8146852117065
31,2024-04-13 16:52:22.418698+00:00,G32,7998230.517783548,17925514.160998203,18195453.280214105,21272535.20165962,41.1,1429.7492874494478
32,2024-04-13 16:52:23.418698+00:00,G02,14593618.420360496,-5115008.573093904,22057557.524976943,22790132.9381693,38.5,-2498.4217080804474
33,2024-04-13 16:52:23.418698+00:00,G03,23172139.13219523,-12100512.325341227,4160537.4096261985,24129465.665315356,37.5,-2489.988185165945
34,2024-04-13 16:52:23.418698+00:00,G08,24948035.367320042,4725868.727522488,8392533.454994256,21179215.921499003,46.3,1051.868517247046
35,2024-04-13 16:52:23.418698+00:00,G10,-1430892.3138336148,17210519.768154975,20290661.842117902,22804512.08467514,41.2,2032.07340430253
36,2024-04-13 16:52:23.418698+00:00,G21,15719503.99376461,1659996.3464529663,21894632.22452363,21731431.82451014,41.7,-1667.9432637198852
37,2024-04-13 16:52:23.418698+00:00,G27,23133278.0161874,13297049.176765535,-2740037.4566423907,22164004.873565514,40.6,2974.5277632587768
38,2024-04-13 16:52:23.418698+00:00,G28,5189616.8873903435,25782707.54009093,-3738465.596671429,23798305.927844074,31.9,-2518.206607962817
39,2024-04-13 16:52:23.418698+00:00,G32,7996131.871120844,17924662.335009824,18197215.62315668,21272808.925638758,43.6,1427.0432971330263
40,2024-04-13 16:52:24.418698+00:00,G02,14594056.70042642,-5112358.1167779025,22057916.542704206,22789664.36686526,42.4,-2490.875705116928
41,2024-04-13 16:52:24.418698+00:00,G03,23171803.284006517,-12100028.283656344,4163713.3820358217,24129009.383395333,34.6,-2478.2342350458803
42,2024-04-13 16:52:24.418698+00:00,G08,24948907.101785235,4726536.184748864,8389645.307524936,21179415.59384319,46.4,1059.9772732455735
43,2024-04-13 16:52:24.418698+00:00,G10,-1433051.4816562785,17211849.17288594,20289337.602029435,22804902.09574649,39.2,2037.0637408416503
44,2024-04-13 16:52:24.418698+00:00,G21,15719928.737415025,1662624.745960733,21894216.65509382,21731109.867515687,40.2,-1658.7808782670897
45,2024-04-13 16:52:24.418698+00:00,G27,23132897.086760703,13297127.361700239,-2743163.9350453992,22164572.66806868,39.8,2983.207125032941
46,2024-04-13 16:52:24.418698+00:00,G28,5189390.048602195,25783205.206009477,-3735335.600911922,23797790.583480813,34.0,-2502.9671628239867
47,2024-04-13 16:52:24.418698+00:00,G32,7994032.976562597,17923810.53784476,18198977.587756924,21273085.93025883,43.3,1432.6038387977508
48,2024-04-13 16:52:25.418698+00:00,G02,14594495.14713946,-5109707.647335386,22058275.11067841,22789193.108227685,45.0,-2483.054215191376
49,2024-04-13 16:52:25.418698+00:00,G03,23171467.131587677,-12099543.997199925,4166889.265242708,24128524.62271995,37.7,-2475.5620595921628
50,2024-04-13 16:52:25.418698+00:00,G08,24949778.546249963,4727203.441472884,8386756.985205627,21179619.140135724,49.0,1067.6455545988724
51,2024-04-13 16:52:25.418698+00:00,G10,-1435210.4330321224,17213178.62141989,20288012.934410878,22805290.64099955,40.2,2044.0967515041414
52,2024-04-13 16:52:25.418698+00:00,G21,15720353.629839228,1665253.0585631393,21893800.642533194,21730804.069422863,39.9,-1653.2054324211729
53,2024-04-13 16:52:25.418698+00:00,G27,23132515.813887764,13297205.398250192,-2746290.356802147,22165137.49603483,36.6,2991.9057180086425
54,2024-04-13 16:52:25.418698+00:00,G28,5189163.199646102,25783702.49371559,-3732205.526284102,23797331.010013446,31.7,-2497.5710479324125
55,2024-04-13 16:52:25.418698+00:00,G32,7991933.834076067,17922958.769524448,18200739.1740363,21273356.33869659,44.7,1444.3515387773161
56,2024-04-13 16:52:26.418698+00:00,G02,14594933.76050424,-5107057.164780322,22058633.22890047,22788713.43858516,43.8,-2485.8057193514373
57,2024-04-13 16:52:26.418698+00:00,G03,23171130.675016988,-12099059.465989567,4170065.0588194164,24128045.271612074,37.2,-2476.871544156894
58,2024-04-13 16:52:26.418698+00:00,G08,24950649.700690202,4727870.497739821,8383868.488039859,21179820.627302565,48.4,1065.8420685446315
59,2024-04-13 16:52:26.418698+00:00,G10,-1437369.167884117,17214508.11368045,20286687.83931089,22805682.780997466,43.6,2044.022230598181
60,2024-04-13 16:52:26.418698+00:00,G21,15720778.671060232,1667881.2844437743,21893384.186815087,21730486.57968415,44.2,-1654.6279002949402
61,2024-04-13 16:52:26.418698+00:00,G27,23132134.197575316,13297283.286460966,-2749416.721676796,22165715.795569077,40.8,2987.729021554596
62,2024-04-13 16:52:26.418698+00:00,G28,5188936.340441668,25784199.40326521,-3729075.3724628324,23796889.689473834,29.6,-2503.56685579195
63,2024-04-13 16:52:26.418698+00:00,G32,7989834.443834531,17922107.03015347,18202500.381843805,21273639.625395045,42.3,1440.302729813498
64,2024-04-13 16:52:27.418698+00:00,G02,14595372.54048584,-5104406.669365488,22058990.897339102,22788246.647203326,41.6,-2490.132579437494
65,2024-04-13 16:52:27.418698+00:00,G03,23170793.914342597,-12098574.689999163,4173240.7626246954,24127578.205457482,33.6,-2482.631449277563
66,2024-04-13 16:52:27.418698+00:00,G08,24951520.565052643,4728537.353572721,8380979.816128008,21180024.173595097,46.8,1062.2204326449782
67,2024-04-13 16:52:27.418698+00:00,G10,-1439527.6862238264,17215837.64964575,20285362.316723827,22806071.29135009,41.2,2039.7456921561493
68,2024-04-13 16:52:27.418698+00:00,G21,15721203.861041993,1670509.423420729,21892967.287970632,21730171.218872003,40.8,-1657.5760434907286
69,2024-04-13 16:52:27.418698+00:00,G27,23131752.23776832,13297361.026390724,-2752543.0299394336,22166275.49317121,43.7,2984.3113165212526
70,2024-04-13 16:52:27.418698+00:00,G28,5188709.4708671365,25784695.934806086,-3725945.138541714,23796373.43769925,30.8,-2514.2594038471257
71,2024-04-13 16:52:27.418698+00:00,G32,7987734.805637658,17921255.319685224,18204261.211341515,21273901.971832216,42.6,1439.031066611792
72,2024-04-13 16:52:28.418698+00:00,G02,14595811.48711332,-5101756.160957015,22059348.1160152,22787770.29310217,39.9,-2486.0635777120606
73,2024-04-13 16:52:28.418698+00:00,G03,23170456.849590387,-12098089.669171816,4176416.3767235707,24127110.82519897,37.5,-2477.614669836328
74,2024-04-13 16:52:28.418698+00:00,G08,24952391.13930621,4729204.009011796,8378090.969496796,21180226.25406934,48.3,1067.2345677960022
75,2024-04-13 16:52:28.418698+00:00,G10,-1441685.987986629,17217167.229247056,20284036.366690766,22806459.52249923,41.7,2043.377184046591
76,2024-04-13 16:52:28.418698+00:00,G21,15721629.199780433,1673137.4755103332,21892549.94599962,21729849.226977117,40.6,-1655.0971416124694
77,2024-04-13 16:52:28.418698+00:00,G27,23131369.934488542,13297438.618082011,-2755669.2812312036,22166844.823293537,46.6,2989.23835035531
78,2024-04-13 16:52:28.418698+00:00,G28,5188482.590969134,25785192.088116683,-3722814.8259425443,23795912.049409237,29.2,-2502.567634612033
79,2024-04-13 16:52:28.418698+00:00,G32,7985634.919798804,17920403.638281114,18206021.662261,21274182.850400623,43.6,1443.5074492898073
80,2024-04-13 16:52:29.418698+00:00,G02,14596250.600361848,-5099105.639746418,22059704.8849058,22787298.720360674,39.0,-2537.0937312533842
