Latitude,Longitude,Altitude
32.1688570069758,34.813653609570565,67.16203435510397
32.16887497242393,34.81366919670881,57.472212680615485
32.168865726250765,34.81365546971684,59.02670584991574
32.16886238323749,34.813589002596245,77.97820418979973
32.16892206526993,34.81355602272822,72.90597279369831
32.16882562709957,34.813704121850776,68.06837762985379
32.16882639944229,34.81361977589864,66.01921046618372
32.16893716552912,34.81343474110141,73.98195635247976
32.1688126710116,34.81359790928099,64.54956431221217
32.168859259289995,34.813530659499264,77.34601945709437
32.16878446751679,34.81358818147545,46.74953942466527
32.16894539194332,34.813445985973146,76.10156650841236
32.16885344723291,34.813581724362024,67.41103545948863
32.168829471088365,34.81356001595776,46.94450332224369
32.168784105796824,34.81344022946358,59.79400177486241
32.16881076407596,34.813494780323694,47.42843072861433
32.168762041587,34.81342881480926,74.37171163782477
32.168755882956354,34.81344552643934,53.40946670435369
32.1687948232003,34.81340232265709,55.89685418270528
32.168743144627264,34.813411916361424,48.7274705292657
32.16870768306246,34.813464390929504,63.5593390846625
32.16876276699997,34.813407086247096,74.20935690496117
32.168781479392244,34.81337136202359,43.15710260998458
32.16883843398696,34.81330520811355,49.10088691767305
32.16871057455049,34.813327794503664,52.712374513968825
32.16879210848626,34.81329322670228,53.02396968007088
32.168781280191766,34.813203624433726,52.77204407658428
32.164076999869344,34.82047872762114,-1491.9044994832948
32.16886943949975,34.81310212589776,64.68469275627285
32.16401397466577,34.82045916164976,-1464.1777477646247
32.163952586148234,34.82049142713182,-1469.243381915614
32.168773854437006,34.81333555037035,51.57051909249276
32.168807811222976,34.81342322031447,65.25933570973575
32.16877937612327,34.81335927208369,47.567990927025676
32.168806281265596,34.81331984331934,49.54723419249058
32.16874310816802,34.81355511749691,79.3769759638235
32.16879405153752,34.81342546518937,55.256830133497715
32.16868692979688,34.81355727885551,83.24563730787486
32.16879389561277,34.8135298264145,76.18285612948239
32.16883582755589,34.813387265476635,39.02473987452686
32.16883284239487,34.81348307450235,57.736800441518426
32.16883465108696,34.81348643106929,57.499058624729514
32.16881499840787,34.81354156055175,62.672649311833084
32.168840539049036,34.813545665513985,48.09214146528393
32.16886447014391,34.81359897167983,59.3137475727126
32.1688658677753,34.81365606050137,86.97972762025893
32.16410688624418,34.82089662754033,-1445.758837656118
32.16405796300105,34.820818227078625,-1463.9483715677634
32.168832109212204,34.81359242544341,40.44274044595659
32.167096941561425,34.80842757772778,-2882.203314195387
32.16887118724694,34.81355920116508,77.35311771184206
32.16883349004907,34.81363383885155,53.711982482112944
32.16891618682292,34.8057157788301,-2284.4292377429083
32.16884999568304,34.813672301538084,57.944875268265605
32.168922518497844,34.80580042544072,-2273.6758693093434
32.16889225455995,34.805707126480705,-2282.2238441212103
32.168856917963915,34.81364140749829,47.13390225544572
