Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
GPS,32.1688048000,34.8133355100,44.31707763671875,3.83,3.7900925,281.3,1713027230000,0.054603156,0.91553336,338443701703484,2.5,0,,,
FLP,32.1688042000,34.8133381000,44.80763191353388,3.8201938,8.243,281.00735,1713027229561,0.054603156,0.91553336,338443701703484,2.068007,0,,,
GPS,32.1688049100,34.8132836700,44.13214111328125,5.43,3.7900925,269.7,1713027231000,0.06301253,0.7443546,338444693386452,2.5,0,,,
FLP,32.1688065000,34.8132879000,44.90485461504186,5.4195023,8.243,269.06546,1713027230552,0.06301253,0.7443546,338444693386452,2.0676734,0,,,
GPS,32.1688048300,34.8132203100,43.945068359375,5.98,3.7900925,270.5,1713027232000,0.9854451,10.663405,338445690314941,2.5,0,,,
FLP,32.1688051000,34.8132231000,44.92117993895923,5.642495,7.623,269.40906,1713027231550,0.9854451,10.663405,338445690314941,2.0681581,0,,,
GPS,32.1688041300,34.8131366200,43.4388427734375,7.61,3.7900925,270.8,1713027233000,0.77256584,3.03296,338446696989108,2.5,0,,,
FLP,32.1688043000,34.8131425000,44.91097660781592,6.8955855,8.243,269.9354,1713027232556,0.77256584,3.03296,338446696989108,2.0680137,0,,,
GPS,32.1688043900,34.8130438100,42.94317626953125,8.66,3.7900925,271.9,1713027234000,0.8473532,3.4006228,338447696097492,2.5,0,,,
FLP,32.1688044000,34.8130496000,44.64161311985865,7.9384594,3.9,270.8006,1713027233556,0.8473532,3.4006228,338447696097492,2.068002,0,,,
GPS,32.1688094500,34.8129501900,42.37652587890625,8.85,3.7900925,274.3,1713027235000,0.81183857,3.1883006,338448691480148,2.5,0,,,
FLP,32.1688086000,34.8129538000,44.29675875877524,8.5073595,3.9,273.38956,1713027234551,0.81183857,3.1883006,338448691480148,2.0576122,0,,,
GPS,32.1688159900,34.8128545000,41.625244140625,9.14,3.7900925,275.6,1713027236000,0.80721974,1.9953531,338449699419940,2.5,0,,,
FLP,32.1688154000,34.8128563000,43.77820211642123,8.906941,3.9,274.91925,1713027235559,0.80721974,1.9953531,338449699419940,2.0579088,0,,,
GPS,32.1688213200,34.8127533300,41.177978515625,9.42,3.7900925,274.0,1713027237000,0.7958899,1.9294187,338450690837492,2.5,0,,,
FLP,32.1688215000,34.8127555000,43.28782132741777,9.226522,3.9,274.16632,1713027236550,0.7958899,1.9294187,338450690837492,2.0683274,0,,,
GPS,32.1688229900,34.8126513800,40.87603759765625,9.52,3.7900925,273.3,1713027238000,0.7694197,1.9547745,338451693017752,2.5,0,,,
FLP,32.1688242000,34.8126528000,42.90538578164184,9.412387,3.9,273.16705,1713027237553,0.7694197,1.9547745,338451693017752,2.0679686,0,,,
GPS,32.1688235300,34.8125516500,40.729248046875,9.36,3.7900925,272.8,1713027239000,0.7611655,1.5131279,338452692270668,2.5,0,,,
FLP,32.1688250000,34.8125521000,42.43878953650277,9.376919,3.9,272.0876,1713027238551,0.7611655,1.5131279,338452692270668,2.0561376,0,,,
GPS,32.1688287700,34.8124577800,40.544189453125,8.78,3.7900925,273.1,1713027240000,0.7587613,1.5302718,338453689301918,2.5,0,,,
FLP,32.1688286000,34.8124569000,41.81251409374593,8.997098,3.9,272.87115,1713027239549,0.7587613,1.5302718,338453689301918,2.0569565,0,,,
GPS,32.1688327100,34.8123673500,40.40533447265625,8.44,3.7900925,273.2,1713027241000,0.763576,1.5493982,338454691396344,2.5,0,,,
FLP,32.1688327000,34.8123661000,41.31683059659387,8.642215,3.9,272.934,1713027240550,0.763576,1.5493982,338454691396344,2.0582254,0,,,
GPS,32.1688348600,34.8122809000,40.4896240234375,8.32,3.7900925,273.5,1713027242000,0.73417246,1.4608403,338455691893375,2.5,0,,,
FLP,32.1688354000,34.8122793000,41.07947619670199,8.430019,3.9,272.96365,1713027241551,0.73417246,1.4608403,338455691893375,2.0468023,0,,,
GPS,32.1688383300,34.8121939300,40.30029296875,8.11,3.7900925,273.5,1713027243000,0.72221744,1.1275364,338456700279676,2.5,0,,,
FLP,32.1688386000,34.8121928000,40.78575870114922,8.218392,3.9,272.96335,1713027242560,0.72221744,1.1275364,338456700279676,2.0463393,0,,,
GPS,32.1688409300,34.8121115600,40.21038818359375,7.78,3.7900925,273.1,1713027244000,0.7288578,1.1106296,338457691238635,2.5,0,,,
FLP,32.1688413000,34.8121105000,40.46017123772771,7.9327245,3.9,272.9467,1713027243551,0.7288578,1.1106296,338457691238635,2.0457954,0,,,
GPS,32.1688451000,34.8120411400,40.21173095703125,6.72,3.7900925,273.2,1713027245000,0.73987985,1.0851427,338458693934936,2.5,0,,,
FLP,32.1688451000,34.8120378000,40.165566263784505,7.1478024,3.9,272.83194,1713027244553,0.73987985,1.0851427,338458693934936,2.056487,0,,,
GPS,32.1688479500,34.8119838800,40.21270751953125,5.53,3.7900925,273.3,1713027246000,0.7254126,1.1145656,338459695636759,2.5,0,,,
FLP,32.1688481000,34.8119790000,39.86795729943537,6.083106,3.9,272.73862,1713027245555,0.7254126,1.1145656,338459695636759,2.0563545,0,,,
GPS,32.1688474900,34.8119422800,40.16485595703125,4.13,3.7900925,273.4,1713027247000,0.7158631,1.1484785,338460699774310,2.5,0,,,
FLP,32.1688484000,34.8119360000,39.57020314217225,4.788752,3.9,272.59808,1713027246558,0.7158631,1.1484785,338460699774310,2.056191,0,,,
GPS,32.1688521800,34.8119136000,39.88128662109375,2.01,3.8030028,272.9,1713027248000,0.103652254,3.3825252,338461689997591,2.5,0,,,
FLP,32.1688519000,34.8119091000,39.408908050871574,2.0105305,3.9,272.00052,1713027247549,0.103652254,3.3825252,338461689997591,2.05648,0,,,
NLP,32.1688560000,34.8118314000,42.80000305175781,,19.404,,1713027247372,,,338461512000000,2.0664918,0,,,
GPS,32.1688566900,34.8119015000,39.65191650390625,0.66,3.7958028,272.8,1713027249000,0.083915666,2.4789147,338462691409570,2.5,0,,,
FLP,32.1688560000,34.8118993000,39.3996144787354,0.6601684,3.9,271.99954,1713027248551,0.083915666,2.4789147,338462691409570,2.0563185,0,,,
GPS,32.1688564200,34.8119011800,39.68536376953125,0.0,3.8469818,,1713027250000,0.39544487,,338463694580403,2.5,0,,,
FLP,32.1688564000,34.8118998000,39.303770656959315,0.6600831,3.9,271.99982,1713027249553,0.39544487,45.0,338463694580403,2.0674274,0,,,
GPS,32.1688504900,34.8118391300,39.87548828125,3.54,3.7900925,260.3,1713027251000,0.88039356,1.4459293,338464696772539,2.5,0,,,
FLP,32.1688509000,34.8118434000,39.11714400317861,3.5352705,3.9,259.98843,1713027250556,0.88039356,1.4459293,338464696772539,2.087138,0,,,
GPS,32.1688373100,34.8117721500,40.24609375,5.85,3.7900925,256.2,1713027252000,0.78033334,1.5029887,338465693464673,2.5,0,,,
FLP,32.1688386000,34.8117775000,39.39412563069502,5.828823,3.9,255.95644,1713027251553,0.78033334,1.5029887,338465693464673,2.1079164,0,,,
GPS,32.1688200100,34.8116898300,39.9324951171875,7.73,3.7900925,255.5,1713027253000,0.73429924,1.3891473,338466696372537,2.5,0,,,
FLP,32.1688209000,34.8116941000,39.287483176474055,7.714606,3.9,254.97485,1713027252556,0.73429924,1.3891473,338466696372537,2.1161664,0,,,
